7654.00000000,-5.14207172,5.74560308,6.54834366,179163.56148697,0.00000000
7655.00000000,-5.14198446,5.74566126,6.54812908,179163.56453331,5.00000000
7656.00000000,-5.14192057,5.74562788,6.54798651,179163.56852687,0.00000000
7657.00000000,-5.14192772,5.74559927,6.54779243,179163.57251469,0.00000000
7658.00000000,-5.14186525,5.74561453,6.54763365,179163.57652124,0.00000000
7659.00000000,-5.14179993,5.74564409,6.54746532,179163.58053985,0.00000000
7660.00000000,-5.14171219,5.74566889,6.54732370,179163.58554826,0.00000000
7661.00000000,-5.14166451,5.74567604,6.54722071,179163.58951556,0.00000000
7662.00000000,-5.14156246,5.74570894,6.54713058,179163.59349976,0.00000000
7663.00000000,-5.14136982,5.74578142,6.54709482,179163.59751174,0.00000000
7664.00000000,-5.14112902,5.74583769,6.54709768,179163.60151043,0.00000000
7665.00000000,-5.14079094,5.74589872,6.54715443,179163.60555199,0.00000000
7666.00000000,-5.14040422,5.74594784,6.54722691,179163.61052296,0.00000000
7667.00000000,-5.14002323,5.74594975,6.54734802,179163.61452226,0.00000000
7668.00000000,-5.13968992,5.74588680,6.54749298,179163.61852035,0.00000000
7669.00000000,-5.13932323,5.74578667,6.54764175,179163.62251451,0.00000000
7670.00000000,-5.13892555,5.74567652,6.54780054,179163.62651592,0.00000000
7671.00000000,-5.13858080,5.74557114,6.54791880,179163.63054752,0.00000000
7672.00000000,-5.13828897,5.74544096,6.54805279,179163.63551487,0.00000000
7673.00000000,-5.13809347,5.74529362,6.54812098,179163.63952745,0.00000000
7674.00000000,-5.13788462,5.74523830,6.54813719,179163.64352403,0.00000000
7675.00000000,-5.13776970,5.74522400,6.54808950,179163.64753480,0.00000000
7676.00000000,-5.13772202,5.74519873,6.54802704,179163.65151176,0.00000000
7677.00000000,-5.13781166,5.74513483,6.54793024,179163.65556177,0.00000000
7678.00000000,-5.13789892,5.74516678,6.54780102,179163.66052882,0.00000000
7679.00000000,-5.13789272,5.74532223,6.54765511,179163.66452298,0.00000000
7680.00000000,-5.13788223,5.74565172,6.54747105,179163.66852288,0.00000000
7681.00000000,-5.13781929,5.74616861,6.54726171,179163.67252278,0.00000000
7682.00000000,-5.13770723,5.74698019,6.54694605,179163.67652329,0.00000000
7683.00000000,-5.13750029,5.74809074,6.54657173,179163.68052742,0.00000000
7684.00000000,-5.13725185,5.74928427,6.54621553,179163.68552948,0.00000000
7685.00000000,-5.13700914,5.75057030,6.54581785,179163.68951278,0.00000000
7686.00000000,-5.13674307,5.75186110,6.54543209,179163.69351479,0.00000000
7687.00000000,-5.13649273,5.75314665,6.54505062,179163.69752466,0.00000000
7688.00000000,-5.13636541,5.75436544,6.54466581,179163.70152546,0.00000000
7689.00000000,-5.13625002,5.75552464,6.54431057,179163.70556249,0.00000000
7690.00000000,-5.13611603,5.75660658,6.54400969,179163.71052501,0.00000000
7691.00000000,-5.13597202,5.75753212,6.54375935,179163.71452220,0.00000000
7692.00000000,-5.13578272,5.75829506,6.54357576,179163.71852391,0.00000000
7693.00000000,-5.13558674,5.75891304,6.54347038,179163.72252049,0.00000000
7694.00000000,-5.13549519,5.75937986,6.54338360,179163.72652160,0.00000000
7695.00000000,-5.13533449,5.75973511,6.54333925,179163.73056466,0.00000000
7696.00000000,-5.13522959,5.75997829,6.54331446,179163.73552568,0.00000000
7697.00000000,-5.13519430,5.76010418,6.54329491,179163.73952528,0.00000000
7698.00000000,-5.13517761,5.76010466,6.54333687,179163.74352699,0.00000000
7699.00000000,-5.13516426,5.76001453,6.54338884,179163.74752568,0.00000000
7700.00000000,-5.13516903,5.75987196,6.54345655,179163.75152588,0.00000000
7701.00000000,-5.13517141,5.75966549,6.54353285,179163.75556473,0.00000000
7702.00000000,-5.13515043,5.75943947,6.54359007,179163.76052876,0.00000000
7703.00000000,-5.13507271,5.75925970,6.54362154,179163.76452202,0.00000000
7704.00000000,-5.13499594,5.75905180,6.54366541,179163.76853309,0.00000000
7705.00000000,-5.13495493,5.75887442,6.54365730,179163.77253329,0.00000000
7706.00000000,-5.13489628,5.75872231,6.54362869,179163.77651900,0.00000000
7707.00000000,-5.13479137,5.75866461,6.54358292,179163.78053611,0.00000000
7708.00000000,-5.13472652,5.75861692,6.54351616,179163.78553485,0.00000000
7709.00000000,-5.13471270,5.75855684,6.54341793,179163.78953415,0.00000000
7710.00000000,-5.13470364,5.75848579,6.54332781,179163.79354673,0.00000000
7711.00000000,-5.13478422,5.75839138,6.54319620,179163.79751946,0.00000000
7712.00000000,-5.13497353,5.75831223,6.54302406,179163.80153536,0.00000000
7713.00000000,-5.13529062,5.75829029,6.54277229,179163.80556575,0.00000000
7714.00000000,-5.13570404,5.75845909,6.54240847,179163.81057295,0.00000000
7715.00000000,-5.13624191,5.75877285,6.54196596,179163.81452365,0.00000000
7716.00000000,-5.13692379,5.75913286,6.54149485,179163.81852264,0.00000000
7717.00000000,-5.13771391,5.75959444,6.54094076,179163.82253009,0.00000000
7718.00000000,-5.13846207,5.76000404,6.54048491,179163.82652335,0.00000000
7719.00000000,-5.13928032,5.76036167,6.54002571,179163.83054166,0.00000000
7720.00000000,-5.14002943,5.76064873,6.53965998,179163.83553135,0.00000000
7721.00000000,-5.14085197,5.76087046,6.53924799,179163.83953608,0.00000000
7722.00000000,-5.14163399,5.76097965,6.53891945,179163.84353055,0.00000000
7723.00000000,-5.14231110,5.76105881,6.53860044,179163.84753106,0.00000000
7724.00000000,-5.14286900,5.76103497,6.53841925,179163.85152703,0.00000000
